Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
Ремонтненский район;МБОУ  Богородская основная школа;347486 с.Богородское Ремонтненского района Ростовской области ул.Гагарина 17;512 Кбит/с;8631490733;20.0.0.79;;172.23.169.237; 10.61.79.96;10.30.79.31; xdsl 1/1;;;;;;
Ремонтненский район;МБОУ  Тихолиманская основная школа;347497 п.Тихий Лиман Ремонтненского района Ростовской области ул.Школьная 4;512 Кбит/с;8631490679;20.0.0.79;;172.23.169.233;10.61.79.64;10.30.79.23;vl404;;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Болдыревская ООШ;346598 Ростовская область, Родионово-Несветайский р-н, х.Болдыревка ул.Школьная, 1 ;512 Кбит/с;;20.0.0.40;Fa0/0.436;172.23.170.65;10.61.82.0;10.30.40.170;Eth0/0/1(vl436);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Дарьевская СОШ; 346586 Ростовская область, Родионово-Несветайский р-н,х.Дарьевка ул.Центральная, 36а ;512 Кбит/с;;20.0.0.40;Fa0/0.292;172.23.170.53;10.61.81.160;10.30.40.170;Eth0/0/1(vl292);;;;;;
Родионово-Несветайский район;МБОУ Родионово-Несветайского района Барило-Крепинская СОШ;346594 Ростовская область, Родионово-Несветайский р-н,сл.Барило-Крепинская ул.Ленина, 4 ;512 Кбит/с;r1245_240;20.0.0.40;Fa0/0.24;172.23.170.33;10.61.81.0;10.30.40.3;Ethernet0/0/6(vl24);;;;;;
Родионово-Несветайский район;МБОУ  Алексеево-Тузловская  СОШ Родионово-Несветайского района;346596 Ростовская область, Родионово-Несветайский р-н,сл.Алексеево-Тузловка ул.Школьная, 8;512 Кбит/с;r1243_240;20.0.0.40;;172.23.170.29;10.61.80.224;10.30.40.138;1;;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Аграфеновская СОШ;346573 Ростовская область, Родионово-Несветайский р-н,сл.Аграфеновка ул.Просвещения, 5 ;512 Кбит/с;;20.0.0.40;Fa0/0.22;172.23.170.25;10.61.80.192;10.30.40.170;Eth0/0/4(vl22);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Большекрепинская СОШ;346591 Ростовская область, Родионово-Несветайский р-н,сл.Большекрепинская ул.Школьная, 8 ;512 Кбит/с;r1244_240;20.0.0.40;Fa0/0.23;172.23.170.37;10.61.81.32;10.30.40.170;Eth0/0/3(vl23);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Выделянская  СОШ;346590 Ростовская область, Родионово-Несветайский р-н,х.Выдел ул.Молодежная, 2 ;512 Кбит/с;r1247_240;20.0.0.40;Fa0/0.260;172.23.170.49;10.61.81.128;10.30.40.170;Eth0/0/5(vl260);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района  Веселовская  СОШ;346587 Ростовская область, Родионово-Несветайский р-н,х.Веселый ул.Ленина 1б;512 Кбит/с;;20.0.0.40;Fa0/0.196;172.23.170.41;10.61.81.64;10.30.40.160;atm-4(vl196);;;;;;
Родионово-Несветайский район;МБОУ  Волошинская СОШ Родионово-Несветайского района;346583 Ростовская область, Родионово-Несветайский р-н,х.Волошино ул.Центральная, 14 ;512 Кбит/с;;20.0.0.40;Fa0/0.228;172.23.170.45;10.61.81.96;10.30.40.170;Eth0/0/8(vl228);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Генеральская основная общеобразовательная школа;346584 Ростовская область, Родионово-Несветайский р-н,с.Генеральское ул..Советская,34 ;512 Кбит/с;;;;172.23.170.73;10.61.82.64;;;Нет данных в ониме;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Кутейниковская СОШ;346571Ростовская область, Родионово-Несветайский р-н, сл.Кутейниково ул.Булановой, 9 ;512 Кбит/с;;20.0.0.40;Fa0/0.324;172.23.170.57;10.61.81.192;10.30.40.170;Eth0/0/6(vl324);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Авиловская СОШ;346585 Ростовская область, Родионово-Несветайский р-н,х.Авилов ул.Советская, 1 ;512 Кбит/с;r1241_240;20.0.0.40;Fa0/0.356;172.23.170.21;10.61.80.160;10.30.40.3;Eth0/0/9(vl356);;;;;;
Родионово-Несветайский район;МБОУ  Родионово-Несветайского района Платово-Ивановская ООШ;346592Ростовская область, Родионово-Несветайский р-н, с.Плато-Ивановка ул.Чапаева, 3 ;512 Кбит/с;r1255_240;20.0.0.40;Fa0/0.49;172.23.170.81;10.61.82.128;10.30.40.170;Eth0/0/4(vl49);;;;;;
Родионово-Несветайский район;МБОУ Родионово-Несветайского района Каменно-Бродская ООШ;346599 Ростовская область, Родионово-Несветайский р-н, х.Каменный Брод ул. Первомайская, 4 ;512 Кбит/с;;20.0.0.40;Fa0/0.404;172.23.170.77;10.61.82.96;10.30.40.136;atm-23(vl404);;;;;;
Сальский район;МБОУ СОШ №1   х. Маяк                  ;Сальский район,х.Маяк,ул.Центральная 4 347611;512 Кбит/с;8631524117;20.0.0.72;Fa0/0.928;172.23.170.93;10.61.82.224;10.30.72.10;Eth0/0/12(vl928);;;;;;
Сальский район;МБОУ СОШ №2   г. Сальска;347630, Ростовская область, город Сальск, пер. Коммунальный, 4;15 Мбит/с;rs00342366;80.254.100.4;lt-0/0/0.3514;;10.61.154.65;10.30.72.4;Ge0/0/3;;;;;;
Сальский район;МБОУ СОШ №17 с. Крученая Балка                  ;347618 Ростовская область Сальский район с.Кручёная Балка, ул.Ленина 18-а  ;512 Кбит/с;;20.0.0.72;;172.23.170.101;10.61.83.32;10.30.72.44;xdsl 1/1;;;;;;
Сальский район;МБОУ СОШ №27 с. Екатериновка              ;347606, Ростовская область, Сальский район с.Екатериновка, улица Коржова 14;512 Кбит/с;8631524115;20.0.0.72;;172.23.170.113;10.61.83.128;10.30.72.95;vl932;;;;;;
Сальский район;МБОУ СОШ №28 с. Ивановка             ;347613 Ростовская область, Сальский район, с.Ивановка,улица   Школьная 1 «а»;512 Кбит/с;8631524119;20.0.0.72;;172.23.170.117;10.61.83.160;10.30.72.90;vl927;;;;;;
Сальский район;МБОУ СОШ №30 с. Романовка           ;347626, Ростовская область, Сальский район, с.Романовка, улица Ленина, 8;512 Кбит/с;8631524123;20.0.0.72;;172.23.170.121;10.61.83.192;10.30.72.92;xdsl 4/1;;;;;;
Сальский район;МБОУ СОШ №42 с. Сандата           ;347612,Ростовская область, Сальский район, с.Сандата,пер. Школьный, 1;512 Кбит/с;8631524112;20.0.0.72;;172.23.170.125;10.61.83.224;10.30.72.27;vl924;;;;;;
Сальский район;МБОУ СОШ №46 с. Бараники        ;347608, Ростовская область, Сальский  район, с.Бараники,  ул. Пришкольная,28;512 Кбит/с;8631524116;20.0.0.72;;172.23.170.129;10.61.84.0;10.30.72.93;xdsl 2/1;;;;;;
Сальский район;МБОУ СОШ №51 с. Березовка       ;347614, Ростовская область, Сальский район, с. Березовка, пер. Юбилейный,1;512 Кбит/с;8631524124;20.0.0.72;Fa0/0.936;172.23.170.133;10.61.84.32;10.30.72.10;Eth0/0/15(vl936);;;;;;
Сальский район;МБОУ ООШ №54 с. Новый Егорлык имени Е.И. Игнатенко       ;347616    Ростовская область, Сальский район, с.Новый  Егорлык,ул.Красная,41;512 Кбит/с;8631524106;20.0.0.72;;172.23.170.137;10.61.84.64;10.30.72.66;0/ 0/39;;;;;;
Сальский район;МБОУ СОШ №59 п. Белозерный       ;347609  Ростовская область,Сальский район, п.Белозёрный,  ул.Учебная 1;512 Кбит/с;;20.0.0.72;;172.23.170.141;10.61.84.96;10.30.72.81;xdsl 1/1;;;;;;
Сальский район;МБОУ ООШ №62 имени Е.И. Игнатенко   с. Новый Егорлык    ;347615,  Ростовская область,Сальский район, с.Новый Егорлык,ул.Ленина 14;512 Кбит/с;8631524108;20.0.0.72;;172.23.170.145;10.61.84.128;10.30.72.81;0/ 0/27;;;;;;
Сальский район;МБОУ СОШ №81 п. Юловский      ;347601, Ростовская область, Сальский район, п. Юловский,  Ростовской области,  ул.Ленина, 18;512 Кбит/с;8631524113;20.0.0.72;;172.23.170.161;10.61.85.0;10.30.72.45;xdsl 1/3;;;;;;
Сальский район;МБОУ СОШ №82 п. Степной Курган     ;347602  Ростовская область, Сальский район, п.Степной Курган,ул.Победы,19;512 Кбит/с;8631524114;20.0.0.72;Fa0/0.930;172.23.170.165;10.61.85.32;10.30.72.10;Eth0/0/8(vl930);;;;;;
Сальский район;МБОУ СОШ №86 с. Шаблиевка;437605,Ростовская область, Сальский район,  с. Шаблиевка, улица Димитрова, 9 ;512 Кбит/с;8631524121;20.0.0.72;;172.23.170.173;10.61.85.96;10.30.72.86;9;;;;;;
Семикаракорский район;МБОУ СОШ N3 г.Семикаракорска;346630, Ростовская обл., г. Семикаракорск, пр. Атаманский, 250;2048 Кбит/с;8631531449;80.254.100.4;lt-0/0/0.1746;172.23.179.117;10.61.155.160;10.30.56.14;6/0/11;;;;;;
Семикаракорский район;МБОУ Висловская СОШ;346636, Ростовская обл., Семикаракорский район, х. Вислый, ул. Школьная, 23/1;4096 Кбит/с;8631531319;80.254.100.4;lt-0/0/0.1852;172.23.170.217;10.61.86.192;10.30.56.73;xdsl 1/7 - xdsl 1/17;;;;;;
Семикаракорский район;МБОУ Задоно-Кагальницкая СОШ;346638, Ростовская обл., Семикаракорский район, ст. Задоно-Кагальницкая, ул. 30 лет Победы, 63а;512 Кбит/с;8631531446;80.254.100.4;lt-0/0/0.1848;172.23.170.201;10.61.86.64;10.30.56.92;xdsl 1/2;;;;;;
Семикаракорский район;МБОУ Зеленогорская СОШ;346647, Ростовская обл., Семикаракорский район, п. Зеленая Горка, ул. Пушкина, 3;512 Кбит/с;8631531451;80.254.100.4;lt-0/0/0.1828;172.23.170.189;10.61.85.224;10.30.56.11;Eth0/0/9;;;;;;
Семикаракорский район;МБОУ Золотаревская СОШ;346645, Ростовская обл., Семикаракорский район, х. Золотаревка, ул. Здоровцева, 28 а;1024 Кбит/с;;80.254.100.4;lt-0/0/0.1818;172.23.170.225;10.61.87.0;10.30.56.74;xdsl 1/1;;;;;;
Семикаракорский район;МБОУ Кирсановская СОШ;346642, Ростовская обл., Семикаракорский район, х. Кирсановка, ул. Школьная, 3;512 Кбит/с;8631531450;80.254.100.4;lt-0/0/0.1808;172.23.170.229;10.61.87.32;10.30.56.91;xdsl 2/4;;;;;;
Семикаракорский район;МБОУ Кочетовская СОШ;346633, Ростовская обл., Семикаракорский район, ст. Кочетовская, улю Студенческая, 31;512 Кбит/с;8631531441;80.254.100.4;lt-0/0/0.1840;172.23.170.205;10.61.86.96;10.30.56.34;xdsl 1/17;;;;;;
Семикаракорский район;МБОУ Кузнецовская СОШ;346646, Ростовская обл., Семикаракорский район, х. Кузнецовка, ул. Ананченко, 15;512 Кбит/с;8631531447;80.254.100.4;lt-0/0/0.1812;172.23.170.233;10.61.87.64;10.30.56.49;9;;;;;;
Семикаракорский район;МБОУ Нижне-Саловская СОШ;346643, Ростовская обл., Семикаракорский район, п. Нижний Саловск, ул. Торговая, 14;1024 Кбит/с;8631531316;80.254.100.4;lt-0/0/0.1810;172.23.170.197;10.61.86.32;10.30.56.91;xdsl 2/4;;;;;;
Семикаракорский район;МБОУ Ново-Золотовская СОШ;346657, Ростовская обл., Семикаракорский район, ст. Новозолотовская, ул. Октябрьская, 50;4096 Кбит/с;;80.254.100.4;lt-0/0/0.925;172.23.170.209;10.61.86.128;10.30.56.13;0/ 1/ 0;;;;;;
Семикаракорский район;МБОУ Слободская СОШ;346652, Ростовская обл., Семикаракорский район, х. Слободской, ул. Мира, 25;512 Кбит/с;8631531442;80.254.100.4;lt-0/0/0.1844;172.23.170.245;10.61.87.160;;vl914;;;;;;
Семикаракорский район;МБОУ Страховская СОШ;346642, Ростовская обл., Семикаракорский район, х. Страхов, ул. Шелестова, 28;512 Кбит/с;8631531439;80.254.100.4;lt-0/0/0.1814;172.23.170.249;10.61.87.192;;vl903;;;;;;
Семикаракорский район;МБОУ Сусатская СОШ;346651, Ростовская обл., Семикаракорский район, х. Сусат, ул. Гагарина, 28/1;2048 Кбит/с;8631531443;80.254.100.4;lt-0/0/0.1842;172.23.170.253;10.61.87.224;10.30.56.6;0/1/1;;;;;;
Семикаракорский район;МБОУ Топилинская СОШ;346644, Ростовская обл., Семикаракорский район, х. Топилин, пер. Короткий, 6;4096 Кбит/с;8631531454;80.254.100.4;lt-0/0/0.1708;172.23.171.5;10.61.88.32;10.30.56.22;1;;;;;;
Семикаракорский район;МБОУ Шаминская СОШ;346643, Ростовская обл., Семикаракорский район, х. Шаминка, пер. Школьный, 2;4096 Кбит/с;8631531440;80.254.100.4;lt-0/0/0.1710;172.23.171.13;10.61.88.96;10.30.56.69;Ethernet0/0/7(vl908);;;;;;
Семикаракорский район;МБОУ Мечетновская СОШ;346635, Ростовская обл., Семикаракорский район, х. Маломечетный, ул. Октябрьская, 18;512 Кбит/с;;80.254.100.4;lt-0/0/0.1822;172.23.170.241;10.61.87.128;10.30.56.9;1;;;;;;
Семикаракорский район;МБОУ Титовская СОШ;346639, Ростовская обл., Семикаракорский район, х. Титов, пер. Пионерская, 36;512 Кбит/с;8631531444;80.254.100.4;lt-0/0/0.1850;172.23.171.1;10.61.88.0;;vl907;;;;;;
Семикаракорский район;МБОУ Чебачинская СОШ;346634, Ростовская обл., Семикаракорский район, х. Чебачий, ул. Гагарина, 8а;4096 Кбит/с;8631531321;80.254.100.4;lt-0/0/0.1728;172.23.171.9;10.61.88.64;10.30.56.94;xdsl 1/1;;;;;;
Семикаракорский район;МБОУ Бакланниковская ООШ;346641, Ростовская обл., Семикаракорский район, х. Бакланники, ул. Школьная, 28;1024 Кбит/с;8631531318;80.254.100.4;lt-0/0/0.1824;172.23.170.213;10.61.86.160;;vl907;;;;;;
Семикаракорский район;МБОУ Вершиновская ООШ;346654, Ростовская обл.,Семикаракорски й район, пос. Вершинный, ул. Центральная, 2/1;512 Кбит/с;8631531453;80.254.100.4;lt-0/0/0.1816;172.23.170.185;10.61.85.192;10.30.56.96;xdsl 1/1;;;;;;
Семикаракорский район;МБОУ Жуковская ООШ;346637, Ростовская обл., Семикаракорский район, х. Жуков, ул. Степная, 17;512 Кбит/с;8631531452;80.254.100.4;lt-0/0/0.1826;172.23.170.221;10.61.86.224;10.30.56.23;1;;;;;;
Семикаракорский район;МБОУ Крымская ООШ;346640, Ростовская обл., Семикаракорский район, п.Крымский, ул. Гагарина, 1;512 Кбит/с;8631531445;80.254.100.4;lt-0/0/0.1846;172.23.170.193;10.61.86.0;10.30.56.8;1;;;;;;
Семикаракорский район;МБОУ Старокузнецовская ООШ;346645, Ростовская обл., Семикаракорский район, х. Лиманский, ул. Степная, 26;1024 Кбит/с;8631531315;80.254.100.4;lt-0/0/0.1820;172.23.170.237;10.61.87.96;10.30.56.11;Eth0/0/6(vl924);;;;;;
Советский район;Калач-Куртлакская ООШ-филиал МБОУ Советской СОШ;347186,  ул. Школьная, д. 2,  сл. Калач-Куртлак,  Советский район,  Ростовская область;512 Кбит/с;;80.254.100.4;lt-0/0/0.1009;172.23.171.29;10.61.88.224;10.30.63.5;Ethernet0/0/10(vl29);;;;;;
Советский район;МБОУ Советской СОШ филиал Осиновская ООШ;347184,  ул. Школьная, д. 4, х. Осиновский, Советский район, Ростовская область;1024 Кбит/с;;80.254.100.4;lt-0/0/0.567;172.23.171.33;10.61.89.0;10.30.63.31;1;;;;;;
Советский район;МБОУ Чирская СОШ;347185,  ул. 2-Школьная, д. 18, п. Чирский,  Советский район,  Ростовская область ;512 Кбит/с;8631540288;80.254.100.4;lt-0/0/0.565;172.23.171.17;10.61.88.128;10.30.63.210;atm-0(vl400);;;;;;
Советский район;МБОУ Чистяковская ООШ;347181,  ул. Гагарина, д. 6, с. Чистяково,  Советский район, Ростовская область;512 Кбит/с;8631540289;80.254.100.4;lt-0/0/0.563;172.23.171.21;10.61.88.160;10.30.63.5;Ethernet0/0/8(vl401);;;;;;
Тарасовский район;МБОУ Колушкинская СОШ;346065 РФ, Ростовская область, Тарасовский район, сл.Колушкино, ул.Советская, 88;512 Кбит/с;8631550815;20.0.0.16;;172.23.171.65;10.61.90.0;10.30.86.40;1;;;;;;
Тарасовский район;Муниципальное бюджетное общеобразовательное учреждение Туроверо-Россошанская основная общеобразовательная школа  (МБОУ Туроверо-Россошанская ООШ);346073, Ростовская область,  Тарасовский район, х. Россошь, ул. Советская, 17;512 Кбит/с;8631550809;20.0.0.16;;172.23.171.125;10.61.91.224;10.30.86.190;1;;;;;;
Тарасовский район;МБОУ Ерофеевская ООШ;346060 Ростовская область Тарасовский район х.Ерофеевка ул.школьная.15;512 Кбит/с;8631550810;;;172.23.171.101;10.61.91.32;;;;;;;;
Тарасовский район;МБОУ Колодезянская ООШ;346051, РФ, Ростовская область, Тарасовский район, п. Тарасовский, ул. Победы, д. 32.;2048 Кбит/с;8631550807;20.0.0.16;Fa0/0.372;172.23.171.61; 10.61.89.224;10.30.16.5;Eth1/11(vl372);;;;;;
Тарасовский район;МБОУ Ефремово-Степановская СОШ;сл. Ефремово-Степановка, ул. Буденного, 2 «б»;512 Кбит/с;8631550826;20.0.0.16;;172.23.171.81;10.61.90.128;10.30.86.35;xdsl 1/23;;;;;;
Тарасовский район;МБОУ Зеленовская СОШ;Ростовская обл. Тарасовский р-н., х. Зеленовка Школьная,7;512 Кбит/с;8631550817;20.0.0.16;Fa0/0.516;172.23.171.105;10.61.91.64;10.30.16.12;Eth0/0/3(vl516);;;;;;
Тарасовский район;МБОУ Курно-Липовская СОШ;346061, Тарасовский район, х. Мартыновка, ул. Центральная, 31;512 кбит/с;8631550822;20.0.0.16;Fa0/0.356;172.23.171.113;10.61.91.128;10.30.16.5;Eth1/10(vl356);;;;;;
Тарасовский район;МБОУ Деркульская ООШ;Тарасовский р-н       п. Деркул ул. Школьная 7а;512 кбит/с;8631550813;20.0.0.16;;172.23.171.53;10.61.89.160;10.30.86.220;xdsl 1/7;;;;;;
Тарасовский район;МБОУ Рыновская ООШ;346067, Ул. Южная 11, Тарасовский р-н., Ростовская область;512 Кбит/с;;20.0.0.16;;172.23.171.57;10.61.89.192;10.30.86.60;1;;;;;;
Тарасовский район;МБОУ Митякинская СОШ;Ростовская обл., Тарасовский р-н, ст.Митякинская, ул. Большая Садовая, д.54;512 кбит/с;8631550818;20.0.0.16;;172.23.171.89;10.61.90.192;10.30.86.130;xdsl 2/7;;;;;;
Тарасовский район;МБОУ Весеннинская ООШ;Ростовская область Тарасовский район п. Весенний ул. Ленина, 3;512 Кбит/с;8631550821;20.0.0.16;Fa0/0.260;172.23.171.45;10.61.89.96;;vl260;;;;;;
Тарасовский район;МБОУ Дячкинская СОШ;356054 Ростовская область , Тарасовский район, сл.  Дячкино, ул Мира 16;512 Кбит/с;;20.0.0.16;Fa0/0.292;172.23.171.77;10.61.90.96;;vl292;;;;;;
Тарасовский район;МБОУ Васильевская ООШ;Ростовская область,Тарасовский район,х.Васильевка,ул.Железнодорожная 33;512 Кбит/с;8631550811;20.0.0.16;Fa0/0.748;172.23.171.93;10.61.90.224;10.30.16.9;Eth0/0/7(vl748);;;;;;
Тарасовский район;МБОУ Тарасовская СОШ №2;Ростовская область, п. Тарасовский, ул. Степная, 136;2048 Кбит/с;8631550812;80.254.100.4;lt-0/0/0.377;172.23.179.125;10.61.155.224;10.30.16.19;9/0/23;;;;;;
Тарасовский район;МБОУ Красновская СОШ;346082,Ростовская область ,Тарасовский район ,х.Верхний Митякин, улица Центральная ,139;512 Кбит/с;8631550820;20.0.0.16;Fa0/0.324;172.23.171.97;10.61.91.0;10.30.16.9;Eth0/0/14(vl324);;;;;;
Тарасовский район;МБОУ Роговская СОШ;346091,Ростовская область ,Тарасовский район ,х Можаевка, ул. Школьная, 5;512 Кбит/с;8631550808;;;;;;;Телефония;;;;;
Тарасовский район;МБОУ Большинская СОШ;Тарасовский район, Сл. Большинка;512 Кбит/с;8631550825;20.0.0.16;;172.23.171.73;10.61.90.64;10.30.86.50;1;;;;;;
Тацинский район;МБОУ Тацинская СОШ № 2;Ростовская обл, Тацинский район, ст. Тацинская, пер. Комсомольский 3;1024 Кбит/с;8631560764;20.0.0.97;Fa0/0.24;172.23.178.77;10.61.146.96;10.30.97.6;Eth1/10(vl24);;;;;;
Тацинский район;МБОУ Углегорская СОШ;Тацинский район п.Углегорский пер.Школьный,5;512 Кбит/с;8631560779;20.0.0.97;;172.23.179.133;10.61.156.32;10.30.97.115;xdsl 2/2;;;;;;
Тацинский район;МБОУ Араканцевская НОШ;347065 х. Араканцев, ул. 70 лет Октября, 48, Тацинский район, Ростовская область;512 Кбит/с;8631560767;20.0.0.97;;172.23.171.173;10.61.93.96;10.30.97.104;xdsl 1/1;;;;;;
Тацинский район;МБОУ Верхнекольцовская ООШ;347085 Ростовская область Тацинский район хутор Верхнекольцов улица Школьная 1;512 Кбит/с;8631560772;20.0.0.97;;172.23.171.185;10.61.93.192;10.30.97.107;1;;;;;;
Тацинский район;МБОУ Верхнеобливская ООШ;х.Верхнеобливский ул.Школьная,1 Тацинский район Ростовская область;512 Кбит/с;8631560781;20.0.0.97;;172.23.171.153;10.61.92.192;10.30.97.117;3;;;;;;
Тацинский район;МБОУ Качалинская СОШ;347076 Ростовская область Тацинский район хутор Качалин улица Харченко 44;512 Кбит/с;8631560782;;;172.23.171.161;10.61.93.0;;;;;;;;
Тацинский район;МБОУ Исаевская ООШ;347068. пер. Южный 8 х Исаев, Тацинский район, Ростовская область ;512 Кбит/с;8631560783;20.0.0.97;;172.23.171.181;10.61.93.160;10.30.97.118;0/1/12;;;;;;
Тацинский район;МБОУ Крыловская ООШ;Ростовская обл, Тацинский район, ул. Центральная, 15,х. Крылов;512 Кбит/с;8631560770;20.0.0.97;Fa0/0.405;172.23.171.177;10.61.93.128;10.30.97.7;Eth0/0/7(vl405);;;;;;
Тацинский район;МБОУ Крюковская СОШ ;347073 Ростовская обл., Тацинский р-н, х.Крюков ул.Школьная д.24-а;512 Кбит/с;8631560775;20.0.0.93;Fa0/1.825;172.23.165.21;10.61.40.160;10.30.93.107;Ethernet1/0/20(vl825);;;;;;
Тацинский район;МБОУ Новороссошанская ООШ;347083 Ростовская область, Тацинский район, хутор Новороссошанский, ул.Школьная, 12.;1024 Кбит/с;8631560949;20.0.0.97;Fa0/0.38;172.23.171.149;10.61.92.160;10.30.97.7;Eth0/0/9(vl38);;;;;;
Тацинский район;МБОУ Луговская ООШ;347078 Ростовская обл. Тацинский р-н.   х. Луговой ул. Молодёжная,1;512 Кбит/с;8631560785;;;172.23.171.189;10.61.93.224;;;;;;;;
Тацинский район;МБОУ Михайловская СОШ ;347071 Ростовская область, Тацинский район, х.Михайлов, ул.40 лет Пионерии,25;512 Кбит/с;8631560773;20.0.0.97;Fa0/0.25;172.23.177.129;10.61.140.0;10.30.97.7;Eth0/0/3(vl25);;;;;;
Тацинский район;МБОУ Тацинская СОШ № 1;347060,Ростовская область, ст. Тацинская, ул. Октябрьская, 61;2048 Кбит/с;8631560777;20.0.0.97;;172.23.178.73;10.61.146.64;10.30.97.4;9/0/30;;;;;;
Тацинский район;МБОУ Зазерская СОШ;Ростовская область, Тацинский район, хут. Зазерский, ул.Центральная, 38;512 Кбит/с;8631560769;20.0.0.97;;172.23.171.141;10.61.92.96;10.30.97.103;xdsl 2/1;;;;;;
Тацинский район;МБОУ Ковылкинская СОШ;Ростовская область Тацинский район х. Ковылкин улица Советская дом 9;512 Кбит/с;;20.0.0.97;Fa0/0.403;172.23.171.145;10.61.92.128;10.30.97.7;vl403;;;;;;
Тацинский район;МБОУ Ермаковская СОШ;347082Ростовская обл Тацинский р-н ст. Ермаковская ул. Молодежная, 4;512 Кбит/с;8631560766;20.0.0.97;Fa0/0.777;172.23.171.133;10.61.92.32;10.30.97.7;vl777;;;;;;
Тацинский район;МБОУ Суховская СОШ;ул.Административная д 7 п.Новосуховый, Тацинский район, Ростовская область;512 Кбит/с;8631560771;20.0.0.97;;172.23.171.137;10.61.92.64;10.30.97.108;1;;;;;;
Тацинский район;МБОУ Жирновская СОШ;Тацинский район ,п.Жирнов,ул.Крупской,7;512 Кбит/с;;20.0.0.97;Fa0/0.400;172.23.177.133;10.61.140.32;10.30.97.7;vl400;;;;;;
Тацинский район;МБОУ скосырская СОШ;347074 Ростовская обл. Тацинский район ст.Скосырская ул.Школьная, 5а;512 Кбит/с;8631560780;20.0.0.97;;172.23.179.137;10.61.156.64;10.30.97.119;xdsl 3/23;;;;;;
Тацинский район;МБОУ Масловская ООШ;Ростовская обл.тацинский район. Х.Надежевка. Ул.Заводская 37/3;512 Кбит/с;8631560784;;;172.23.171.169;10.61.93.64;;;Нет данных ip в ониме;;;;;
Тацинский район;ГКОУ РО Тацинская специальная школа-интернат;347060, Ростовская область, Тацинский район, ст. Тацинская, ул. Г.Волкова, 67;512 Кбит/с;;20.0.0.97;Fa0/0.116;172.23.178.81;10.61.146.128;;vl116;;;;;;
Усть-Донецкий район;Апаринская СОШ;Усть-Донецкий район, х. Апаринский, ул. Донецкая ,15;4096 Кбит/с;8631571376;20.0.0.51;;172.23.171.217;10.61.94.192;10.30.51.19;0/0/1;;;;;;
Усть-Донецкий район;Верхнекундрюченская СОШ;Усть-Донецкий район,  ст. Верхнекундрючен­ская, ул. Центральная, 42;4096 Кбит/с;ekthupjxfu;20.0.0.51;Fa0/0.212;172.23.171.201;10.61.94.64;10.30.51.29;vl212;;;;;;
Усть-Донецкий район;Евсеевская СОШ;Усть-Донецкий район х. Евсеевский ул.Школьная,8;4096 Кбит/с;8631571378;80.254.100.4;lt-0/0/0.3542;172.23.171.221;10.61.94.224;10.30.51.13;0/1/15;;;;;;
Усть-Донецкий район;Крымская СОШ;Усть-Донецкий район, хутор Крымский, улица Черёмушки, 24.;4096 Кбит/с;8631571373;20.0.0.51;;172.23.171.225;10.61.95.0;10.30.51.10;0/1/1;;;;;;
Усть-Донецкий район;Мелиховская СОШ;Усть-Донецкий район, ст. Мелиховская, ул. Крестьянская 42А;4096 Кбит/с;8631571371;20.0.0.51;;172.23.171.205;10.61.94.96;10.30.51.24;0/4/13;;;;;;
Усть-Донецкий район;Нижнекундрюченская СОШ;Усть-Донецкий район, ст. Нижнекундрюченская, ул.Центральная, 2;512 Кбит/с;;20.0.0.51;;172.23.171.229;10.61.95.32;10.30.51.11;0/1/1;;;;;;
Усть-Донецкий район;Раздорская СОШ;Усть-Донецкий район ст. Раздорская ул. Ленина, 26;2048 Кбит/с;8631571372;20.0.0.51;;172.23.171.209;10.61.94.128;10.30.51.27; 0/ 1/10;;;;;;
Усть-Донецкий район;Пухляковская СОШ;Усть-Донецкий район, х. Пухляковский, переулок Школьный, 8;4096 Кбит/с;8631571375;20.0.0.51;;172.23.171.233;10.61.95.64;10.30.51.23;0/1/0;;;;;;
Усть-Донецкий район;Усть-Быстрянская СОШ;ст.Усть-Быстрянская, ул. Центральная д.23;4096 Кбит/с;ziuwnnp6vi;80.254.100.4;lt-0/0/0.3532;172.23.171.213;10.61.94.160;10.30.51.15;xdsl 1/1;;;;;;
Целинский район;МБОУ Сладко-Балковская СОШ №13;347767 Целинский район ст. Сладкая Балка Центральная 62;2048 Кбит/с;;20.0.0.71;;172.23.172.49;10.61.97.128;10.30.71.23;1;;;;;;
